nbhd_name,new_use,mean,count1,high_cost,low_cost
Central West End,Institutional,14498.25,4341,0,4
Central West End,Residential,105700,3983,1,2
Forest Park Southeast,Commercial,400000,342,1,0
Forest Park Southeast,Residential,60000,1264,1,0
Skinker DeBaliviere,Commercial,850000,176,2,0
West End,Institutional,1000000,206,1,0
West End,Residential,100100,1166,1,0
