nbhd_name,new_use,mean,count1,high_cost,low_cost
Academy,Institutional,100000,90,1,0
Academy,Residential,82990,623,2,3
Central West End,Commercial,4037500,1246,2,2
Central West End,Industrial,21676,24,0,1
Central West End,Institutional,4313104.714285715,4322,5,9
Central West End,Residential,46999.80055555556,3921,6,12
DeBaliviere Place,Institutional,8000,109,0,1
DeBaliviere Place,Residential,6013333.333333333,637,1,2
Forest Park Southeast,Commercial,17500,269,0,2
Forest Park Southeast,Institutional,64145,295,1,0
Forest Park Southeast,Residential,49498.333333333336,1239,1,5
Lewis Place,Residential,2500,396,0,1
Skinker DeBaliviere,Institutional,10000,227,0,1
Skinker DeBaliviere,Residential,30500,1916,1,5
Vandeventer,Industrial,55000,1,1,0
Vandeventer,Residential,150000,517,1,0
West End,Commercial,21000,191,0,2
West End,Residential,4750,1153,0,8
